data,valor,descricao,categoria,metodo_pagamento,conta
2024-01-15,-150.50,SUPERMERCADO ABC,Alimentação,Cartão de Crédito,Conta Corrente Principal
2024-01-16,-45.00,UBER TRANSPORTE,Transporte,Cartão de Débito,Conta Corrente Principal
2024-01-17,3000.00,SALÁRIO MENSAL,Receita,Transferência,Conta Corrente Principal
2024-01-18,-89.90,NETFLIX ASSINATURA,Lazer,Cartão de Crédito,Conta Corrente Principal
2024-01-19,-25.00,FARMÁCIA XYZ,Saúde,Cartão de Débito,Conta Corrente Principal
2024-01-20,-120.00,CONTA DE LUZ,Moradia,Débito Automático,Conta Corrente Principal
2024-01-21,-80.00,IFOOD DELIVERY,Alimentação,Cartão de Crédito,Conta Corrente Principal
2024-01-22,-200.00,ACADEMIA,Saúde,Débito Automático,Conta Corrente Principal
2024-01-23,-35.50,POSTO DE GASOLINA,Transporte,Cartão de Débito,Conta Corrente Principal
2024-01-24,-15.90,SPOTIFY ASSINATURA,Lazer,Cartão de Crédito,Conta Corrente Principal

